File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13Q1_006__250m_16_days_NDVI_doy2001001_aid0001,_250m_16_days_NDVI,aid0001,2001-01-01,475581.0,-0.1631,0.9978,"(-0.1631,0.9978)",0.517,0.1644,0.027,0.6242,0.8894,0.5517,0.182,0.4473
MOD13Q1_006__250m_16_days_NDVI_doy2001017_aid0001,_250m_16_days_NDVI,aid0001,2001-01-17,474243.0,-0.1871,0.9974,"(-0.1871,0.9974)",0.4794,0.168,0.0282,0.5892,0.8635,0.5084,0.1317,0.4062
MOD13Q1_006__250m_16_days_NDVI_doy2001033_aid0001,_250m_16_days_NDVI,aid0001,2001-02-02,476142.0,-0.1971,0.986,"(-0.1971,0.986)",0.5168,0.1056,0.0111,0.5822,0.7781,0.5178,0.2557,0.4516
MOD13Q1_006__250m_16_days_NDVI_doy2001049_aid0001,_250m_16_days_NDVI,aid0001,2001-02-18,475152.0,-0.1834,0.9986,"(-0.1834,0.9986)",0.4094,0.1898,0.036,0.538,0.887,0.4552,-0.0436,0.305
MOD13Q1_006__250m_16_days_NDVI_doy2001065_aid0001,_250m_16_days_NDVI,aid0001,2001-03-06,475352.0,-0.1699,0.9957,"(-0.1699,0.9957)",0.4147,0.1827,0.0334,0.536,0.8471,0.4583,0.0175,0.3286
MOD13Q1_006__250m_16_days_NDVI_doy2001081_aid0001,_250m_16_days_NDVI,aid0001,2001-03-22,475871.0,-0.1964,0.9955,"(-0.1964,0.9955)",0.5311,0.1104,0.0122,0.6045,0.7981,0.5403,0.2815,0.4753
MOD13Q1_006__250m_16_days_NDVI_doy2001097_aid0001,_250m_16_days_NDVI,aid0001,2001-04-07,473057.0,-0.1285,0.999,"(-0.1285,0.999)",0.538,0.1871,0.035,0.6655,0.9676,0.5854,0.1608,0.4636
MOD13Q1_006__250m_16_days_NDVI_doy2001113_aid0001,_250m_16_days_NDVI,aid0001,2001-04-23,476191.0,0.0697,0.9929,"(0.0697,0.9929)",0.6793,0.0888,0.0079,0.737,0.8806,0.6975,0.4958,0.6405
MOD13Q1_006__250m_16_days_NDVI_doy2001129_aid0001,_250m_16_days_NDVI,aid0001,2001-05-09,475986.0,0.0607,0.9974,"(0.0607,0.9974)",0.7737,0.103,0.0106,0.8481,0.9974,0.7978,0.5399,0.7248
MOD13Q1_006__250m_16_days_NDVI_doy2001145_aid0001,_250m_16_days_NDVI,aid0001,2001-05-25,473708.0,0.002,0.9992,"(0.002,0.9992)",0.7615,0.1437,0.0207,0.8597,0.9992,0.7971,0.4795,0.7076
