year;month;clc;n;min;max;mean;sd;ID
2001;April;231;26718;336;9915;6400;852;2001_April
2001;July;231;26718;2267;9391;6667;1230;2001_July
2001;October;231;26718;1609;9728;6469;905;2001_October
2001;April;311;54213;789;9975;5894;765;2001_April
2001;July;311;54213;1994;9873;8388;958;2001_July
2001;October;311;54213;737;9783;6831;931;2001_October
2002;April;231;26718;218;8285;5977;826;2002_April
2002;July;231;26718;911;9673;6938;1125;2002_July
2002;October;231;26582;-888;9961;6188;1014;2002_October
2002;April;311;54213;1094;8117;5538;551;2002_April
2002;July;311;54213;2482;9887;8363;878;2002_July
2002;October;311;54200;661;9961;6569;1025;2002_October
2003;April;231;26699;1549;7937;5197;903;2003_April
2003;July;231;26718;2109;9181;5960;1251;2003_July
2003;October;231;26718;1713;8856;6070;1074;2003_October
2003;April;311;54213;1609;8132;5143;557;2003_April
2003;July;311;54213;2599;9320;7896;1014;2003_July
2003;October;311;54213;1885;9854;7278;815;2003_October
2004;April;231;26718;2190;9358;6117;868;2004_April
2004;July;231;26718;2044;9137;6670;1117;2004_July
2004;October;231;26718;1264;9055;6559;806;2004_October
2004;April;311;54213;1731;9514;5462;570;2004_April
2004;July;311;54213;2695;9886;7999;911;2004_July
2004;October;311;54213;1352;9055;6700;557;2004_October
2005;April;231;26718;1930;8902;6710;936;2005_April
2005;July;231;26718;1345;9984;6734;1162;2005_July
2005;October;231;26718;2130;8468;6686;895;2005_October
2005;April;311;54213;1745;9257;6043;680;2005_April
2005;July;311;54213;1300;9987;7887;986;2005_July
2005;October;311;54213;2495;8469;7400;662;2005_October
2006;April;231;25433;788;9933;5201;887;2006_April
2006;July;231;26718;1397;9980;6680;1274;2006_July
2006;October;231;26718;2411;8457;6475;662;2006_October
2006;April;311;53565;-1019;9094;5188;630;2006_April
2006;July;311;54213;862;9991;8052;1034;2006_July
2006;October;311;54213;3115;8642;6359;533;2006_October
2007;April;231;26718;2468;8802;6964;782;2007_April
2007;July;231;26718;2788;8972;7092;1012;2007_July
2007;October;231;26718;2269;9119;6303;888;2007_October
2007;April;311;54213;1918;8743;7023;552;2007_April
2007;July;311;54213;2771;9285;8185;836;2007_July
2007;October;311;54213;2198;9957;6358;639;2007_October
2008;April;231;26706;253;9984;6196;899;2008_April
2008;July;231;26718;2492;9818;6397;1254;2008_July
2008;October;231;26718;1725;8440;6328;683;2008_October
2008;April;311;54213;353;9902;5810;802;2008_April
2008;July;311;54213;2508;9986;8140;1052;2008_July
2008;October;311;54213;1706;8766;6090;477;2008_October
2009;April;231;26718;2734;8865;6746;815;2009_April
2009;July;231;26718;2082;9954;6853;1143;2009_July
2009;October;231;26718;2522;8703;6657;868;2009_October
2009;April;311;54213;1351;8900;6834;581;2009_April
2009;July;311;54213;1560;9971;7891;989;2009_July
2009;October;311;54213;2448;9341;7269;618;2009_October
2010;April;231;26718;1617;8713;6299;878;2010_April
2010;July;231;26718;1481;9906;7143;1093;2010_July
2010;October;231;26703;2460;9539;6553;826;2010_October
2010;April;311;54213;1415;8302;5534;600;2010_April
2010;July;311;54213;813;9990;8148;929;2010_July
2010;October;311;54196;1184;9724;6606;714;2010_October
2011;April;231;26718;2239;9553;6385;923;2011_April
2011;July;231;26718;1627;9979;7299;1007;2011_July
2011;October;231;26718;2427;8703;6726;867;2011_October
2011;April;311;54213;1559;9444;6003;777;2011_April
2011;July;311;54213;1466;9993;8173;896;2011_July
2011;October;311;54213;2520;8580;7279;574;2011_October
2012;April;231;26718;1115;9743;5762;877;2012_April
2012;July;231;26718;2302;9140;7120;1027;2012_July
2012;October;231;26683;1838;8941;6324;839;2012_October
2012;April;311;54213;965;9897;5586;736;2012_April
2012;July;311;54213;2133;9956;8325;796;2012_July
2012;October;311;54097;2216;9461;6514;846;2012_October
2013;April;231;26706;1222;9162;5525;805;2013_April
2013;July;231;26718;1754;9168;6777;1164;2013_July
2013;October;231;26718;1644;8705;6749;836;2013_October
2013;April;311;54205;646;8984;5293;518;2013_April
2013;July;311;54213;2152;9411;8394;878;2013_July
2013;October;311;54213;1655;8737;6807;586;2013_October
2014;April;231;26718;1632;9938;7105;783;2014_April
2014;July;231;26718;964;9972;7166;1097;2014_July
2014;October;231;26718;619;9739;7127;828;2014_October
2014;April;311;54213;1632;9722;6919;586;2014_April
2014;July;311;54213;1392;9988;8042;975;2014_July
2014;October;311;54186;1131;9983;7213;656;2014_October
2015;April;231;26668;1762;8661;5938;877;2015_April
2015;July;231;26718;2254;9300;6102;1335;2015_July
2015;October;231;26718;901;9764;6370;863;2015_October
2015;April;311;54213;2045;8320;5567;700;2015_April
2015;July;311;54213;2623;9548;8009;1107;2015_July
2015;October;311;54213;1101;9971;6318;812;2015_October
2016;April;231;26718;2449;9782;6957;832;2016_April
2016;July;231;26718;1296;9992;7276;1136;2016_July
2016;October;231;26718;1291;9991;6502;1068;2016_October
2016;April;311;54213;2173;9940;5985;687;2016_April
2016;July;311;54213;947;9992;8303;991;2016_July
2016;October;311;54213;1491;9957;7304;956;2016_October
2017;April;231;26718;2324;8872;6658;812;2017_April
2017;July;231;26718;2919;9863;7457;1048;2017_July
2017;October;231;26605;1365;9619;6490;787;2017_October
2017;April;311;54213;1965;8552;6190;612;2017_April
2017;July;311;54213;2745;9990;8430;824;2017_July
2017;October;311;54086;1422;9606;6376;550;2017_October
2018;April;231;26718;1904;8808;6376;1023;2018_April
2018;July;231;26718;2031;9413;6042;1233;2018_July
2018;October;231;26718;1235;9396;5691;1153;2018_October
2018;April;311;54213;2106;8549;6241;984;2018_April
2018;July;311;54213;2370;9748;8148;1005;2018_July
2018;October;311;54213;1553;9308;6882;891;2018_October
2019;April;231;26718;2320;9020;6893;833;2019_April
2019;July;231;26718;1091;9993;6581;1231;2019_July
2019;October;231;26718;2062;9747;6713;763;2019_October
2019;April;311;54213;977;8575;6422;590;2019_April
2019;July;311;54213;787;9984;8107;1180;2019_July
2019;October;311;54213;2588;8628;7034;538;2019_October
